,pre_kind_of_movies,pre_favorite_movies,pre_favorite_actors,pre_favorite_directors,blue_recommend_,blue_preference,blue_consistent,blue_natural,blue_engaging,blue_persuasive,blue_sociable,blue_boring,cyan_recommend_,cyan_preference,cyan_consistent,cyan_natural,cyan_engaging,cyan_persuasive,cyan_sociable,cyan_boring,yellow_recommend_,yellow_preference,yellow_consistent,yellow_natural,yellow_engaging,yellow_persuasive,yellow_sociable,yellow_boring,green_recommend_,green_preference,green_consistent,green_natural,green_engaging,green_persuasive,green_sociable,green_boring,red_recommend_,red_preference,red_consistent,red_natural,red_engaging,red_persuasive,red_sociable,red_boring,survey_4_kind_of_movies,worker_id,blue_length,cyan_length,yellow_length,green_length,red_length
43,['Horror movies'],Black Sheep,Tammy Davis,Jonathan King,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,4,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,4,4,5,3,['Horror movies'],A1WJ54G7U8B57Y,12,16,7,7,20
44,"['Action movies', 'Horror movies']",captain America,Chris Evans,joe Johnston,Yes,Blue Bot recommended a movie and it fits my personal preferences.,1,2,2,2,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,4,4,5,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,3,4,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,3,4,4,2,"['Action', 'Horror movies']",A2D2JX8R0QU9G4,1,22,22,22,22
45,"['Action movies', 'Horror movies', 'Mystery movies', 'Sci-fi movies']",The Avengers.,Keanna Reeves.,Christopher Nolan.,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,4,4,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,4,4,5,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,3,3,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,4,3,5,2,"['Action', 'Horror movies', 'Sci-fi movies', 'Mystery movies']",A2YCMT5BPA0AG9,11,11,11,12,17
46,"['Action movies', 'Sci-fi movies']",Fast and Furious.,Paul Walker,Rob Cohen,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,2,3,2,3,3,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,3,2,1,1,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,5,2,3,4,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,4,4,3,3,['Comedy movies'],A2C2WXXKJOLCZ2,1,22,22,22,22
47,['Comedy movies'],Nanban,Vijay,Shankar,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,4,3,4,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,2,2,2,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,5,4,5,2,"['Comedy movies', 'Action']",A16ST6GDZTN4AD,1,13,16,15,22
48,['Comedy movies'],get out,James Eugene Carrey,Christopher Nolan,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,2,1,2,1,1,3,No,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,2,1,No,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,1,2,2,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,1,1,2,1,1,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,1,1,1,1,1,1,['Action'],A292LG3R356V5,1,22,22,22,22
49,"['Action movies', 'Mystery movies', 'Sci-fi movies']",The Matrix,Keanu Reeves,George Lucas,No,Blue Bot recommended a movie and it fits my personal preferences.,3,3,4,4,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,4,4,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,4,3,4,4,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,5,4,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,5,4,4,3,"['Action', 'Horror movies', 'Comedy movies']",A20N1NK5X5S88F,1,22,22,22,22
50,"['Comedy movies', 'Horror movies', 'Drama movies']",comedy,Mr.Bean,Avenger,Yes,Blue Bot recommended a movie and it fits my personal preferences.,1,5,1,5,5,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,['Action'],A28JMHEQZ8276G,1,22,22,22,22
51,"['Comedy movies', 'Horror movies', 'Drama movies']",The New Mutants,Tom Hanks,Steven Spielberg,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,4,3,4,2,3,4,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,3,4,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,4,3,4,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,No,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,4,2,4,3,4,"['Horror movies', 'Drama movies', 'Sci-fi movies']",A1BZX5G4Q9AYTQ,1,7,8,9,8
52,['Action movies'],Dunkirk,Harry Styles, Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,3,4,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,2,2,2,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,4,3,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,4,4,3,4,1,['Action'],ANBEBF6FLZFY3,2,21,22,22,23
53,['Comedy movies'],You've got mail,Tom Hanks,Quentin Taratino,No,Blue Bot didn't recommend a movie.,3,3,3,3,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,4,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,4,5,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,4,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,4,4,1,['Comedy movies'],A198MSVO1VTAT5,1,7,18,3,4
54,"['Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies', 'Mystery movies']","Interstellar, The Curious Case of Benjamin Button","Brad Pitt, Leornado DiCaprio","Quentin Tarantino, Robert Rodriguez",No,Blue Bot didn't recommend a movie.,3,3,3,3,3,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,1,5,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,2,2,1,2,4,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,4,3,2,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,5,4,5,1,"['Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",AIQM86IRETAJN,1,12,12,10,8
55,"['Drama movies', 'Comedy movies', 'Documentary movies', 'Mystery movies']",The Godfather,Al Pacino,Francis Coppola ,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,2,2,3,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,3,4,3,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,4,3,4,3,No,Red Bot didn't recommend a movie.,1,1,1,1,1,1,"['Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",A3KF6O09H04SP7,1,13,12,22,2
56,['Horror movies'],very interesting,comedian,comedian,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,1,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,2,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,1,4,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,1,5,5,1,['Mystery movies'],A1XJU3KQ7B3JWZ,1,22,22,22,22
57,"['Comedy movies', 'Documentary movies']",Casino,Robert DeNiro,Spielberg,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,4,No,Cyan Bot didn't recommend a movie.,1,1,1,2,2,4,No,Yellow Bot didn't recommend a movie.,1,2,1,1,3,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,4,3,5,3,No,Red Bot didn't recommend a movie.,3,3,3,2,3,4,"['Action', 'Documentary movies', 'Drama movies']",A2615YW1YERQBO,1,6,4,13,8
58,"['Action movies', 'Comedy movies', 'Drama movies']",Titanic,Dwyane Johnson,Spike Lee,No,Blue Bot recommended a movie but it doesn't fit my personal preferences.,2,4,3,2,1,2,No,Cyan Bot didn't recommend a movie.,3,3,5,4,3,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,4,3,4,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,5,5,5,5,1,No,Red Bot didn't recommend a movie.,2,1,2,3,4,2,"['Comedy movies', 'Action', 'Documentary movies']",AJXIC6Q5EM76P,1,3,22,22,2
59,"['Horror movies', 'Comedy movies', 'Sci-fi movies']",Titanic,Tom cruise,Christopher nolan,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,No,Cyan Bot didn't recommend a movie.,5,5,5,4,3,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,4,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,"['Comedy movies', 'Horror movies', 'Sci-fi movies']",A1I72NHC21347A,1,7,9,7,8
60,['Sci-fi movies'],Star Wars: The Empire Strikes Back,Harrison Ford,James Gunn,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,5,4,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,1,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,3,4,1,No,Red Bot didn't recommend a movie.,2,2,3,1,5,3,['Sci-fi movies'],A3QXFWX1PVH5MJ,1,10,11,8,16
61,['Action movies'],derminator,arnold,paul hayman,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,5,4,3,4,4,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,4,3,5,4,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,3,4,5,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,4,3,5,4,5,"['Action', 'Mystery movies', 'Comedy movies']",A2VO8C41JJIQY9,1,22,22,22,22
62,"['Comedy movies', 'Horror movies', 'Action movies', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",Goodfellas,Steve Buscemi,Abbas Kiarostami,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,5,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,5,3,3,3,3,4,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,2,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,2,3,4,"['Action', 'Horror movies', 'Mystery movies', 'Drama movies', 'Documentary movies', 'Sci-fi movies', 'Comedy movies']",A2OPYRV3GLAPS1,1,7,8,6,7
63,"['Horror movies', 'Comedy movies', 'Sci-fi movies']",The Dark Knight,Jensen Ackles,David Fincher,No,Blue Bot didn't recommend a movie.,2,2,2,2,2,4,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,3,4,3,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,4,2,4,2,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,4,2,4,2,3,No,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,4,2,2,3,4,"['Horror movies', 'Comedy movies', 'Sci-fi movies', 'Documentary movies']",A1BZX5G4Q9AYTQ,1,7,7,8,9
64,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",Goodfellas,Bradley Cooper,Ron Howard,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,5,3,3,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,5,5,5,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,5,3,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,3,4,3,3,2,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",A1YZ0ETOCJO1B2,1,14,12,17,12
65,"['Action movies', 'Horror movies']","conjuring, avatar, avengers.",Johnny deep,martin scorsese,No,Blue Bot didn't recommend a movie.,2,1,2,1,2,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,5,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,4,5,4,5,2,"['Action', 'Horror movies']",A16ODTIYV32C4Y,1,22,22,22,22
66,['Drama movies'],The pursuit of happiness,Will Smith,Gabriele Muccino,No,Blue Bot didn't recommend a movie.,1,1,1,1,1,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,"['Action', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies', 'Comedy movies']",A3AUCQUUA07HCV,1,13,7,8,11
67,"['Action movies', 'Mystery movies', 'Comedy movies', 'Drama movies', 'Horror movies']",End game,Robert Downey Jr.,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,4,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Drama movies']",A2Y87M8V0N1M6P,5,10,5,4,6
68,"['Action movies', 'Comedy movies']",pirates of the caribbean,jhonny deep,Gore Verbinski,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,4,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,4,4,4,3,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,5,4,4,5,No,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,3,4,3,3,2,No,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,3,4,2,3,4,['Horror movies'],A2DN9LTO4MC9OQ,22,22,22,22,22
69,"['Action movies', 'Horror movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",The dark night,Tom Hunks,David Fincher,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,2,4,2,3,2,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,4,2,4,2,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,2,3,2,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,3,5,3,1,No,Red Bot didn't recommend a movie.,3,1,3,2,3,2,"['Action', 'Horror movies', 'Comedy movies', 'Drama movies']",A1BZX5G4Q9AYTQ,4,4,5,5,8
70,['Action movies'],THE DARK KNIGHT ,JOHHNY DEPP,MARTIN SCORSESE,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,4,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,5,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,4,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,5,3,1,No,Red Bot didn't recommend a movie.,2,2,1,2,1,4,['Action'],AK66O9WD3XN29,4,19,3,3,5
71,['Horror movies'],"Grudge, Ring",Nicolas Cage,David Fincher,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,5,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,4,3,1,No,Yellow Bot didn't recommend a movie.,2,2,1,2,2,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,5,3,4,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,2,2,2,2,5,['Horror movies'],A394JO4NEPCY3M,4,11,4,5,3
72,"['Sci-fi movies', 'Action movies', 'Comedy movies']",Star Wars,Jim Carrey,Steven Spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,3,5,5,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,4,4,5,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,3,5,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,2,1,2,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,1,1,2,2,2,3,"['Action', 'Comedy movies', 'Sci-fi movies']",A39XIQCFSCNHFU,6,9,8,7,10
73,"['Horror movies', 'Mystery movies', 'Documentary movies', 'Comedy movies', 'Drama movies']", Pulp Fiction,Leonardo Dicaprio,David Lynch,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,2,3,4,3,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,2,3,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,4,3,3,3,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,3,3,3,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,3,3,3,"['Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies']",ADGREXTAORHCE,10,7,3,4,8
74,"['Action movies', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",Terminator 2,Sean Connery,Spielberg,No,Blue Bot didn't recommend a movie.,4,2,2,1,2,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,3,3,4,3,No,Yellow Bot didn't recommend a movie.,2,3,2,1,2,4,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,3,2,1,4,3,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,1,4,2,"['Action', 'Mystery movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2V27A9GZA1NR2,7,9,8,11,17
75,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Sci-fi movies', 'Drama movies', 'Documentary movies']",Dr Strangelove,Paul Giamatti,Martin Scorcese,No,Blue Bot didn't recommend a movie.,2,1,2,1,2,5,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,3,2,4,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,2,4,3,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,4,5,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,3,2,3,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2OPYRV3GLAPS1,3,10,9,9,9
76,"['Action movies', 'Horror movies', 'Comedy movies', 'Drama movies']",End game,Will Smith,Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,4,4,4,No,Red Bot didn't recommend a movie.,1,1,1,1,1,5,"['Action', 'Horror movies', 'Comedy movies', 'Drama movies']",A231KDND93GAVX,5,4,4,7,8
77,"['Comedy movies', 'Action movies']","Next time you decide to watch a movie you can pick one up from the list ... Over time he finds ways to live life with relative ease in the prison, sending out ... For chance at redemption, he is offered the one last job that can give him his life back.",bradley cooper,wes anderson,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,2,4,4,3,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,3,4,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,3,4,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,3,4,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,5,5,4,1,"['Action', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",ACV75G0ZN7U70,6,22,10,6,10
78,"['Comedy movies', 'Action movies']",Old School,Will Farrell,M Night Shamalan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,5,4,5,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,4,3,4,2,No,Yellow Bot didn't recommend a movie.,2,4,2,1,3,4,No,Green Bot didn't recommend a movie.,1,2,2,1,2,4,No,Red Bot didn't recommend a movie.,2,4,3,1,3,4,"['Comedy movies', 'Action']",AVXEDARJC5HLU,10,6,7,14,9
79,['Comedy movies'],game night,Jason Bateman,John Francis Daley,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,4,3,5,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,3,3,4,4,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,3,3,4,4,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,4,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,4,4,4,2,['Comedy movies'],A25CZJEFKXF4UV,8,11,14,15,15
80,['Action movies'],avengers,tom hanks,"martin c, scorsese",Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,4,5,1,4,5,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,4,4,1,3,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,3,2,2,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,3,3,3,2,No,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,4,4,2,1,3,['Action'],A2Y87M8V0N1M6P,22,22,22,22,22
81,"['Horror movies', 'Comedy movies', 'Action movies', 'Mystery movies']","Expendables,  Happy Death Day, The Exorcist, Saw, Zodiac","Johnny Depp, Kevin Spacey, Tom Hanks,  Leonardo DiCaprio ","Steven Spielberg, Kathryn Bigelow , Tony Scott, Martin Scorsese ",Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,3,5,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,3,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,3,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,2,4,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies']",A3FGT6EU39C6S4,2,2,2,2,2
82,['Comedy movies'],step brothers,keanu reeves,michael dougherty,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,2,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,2,3,3,3,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,3,3,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,2,3,2,2,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,4,4,2,['Comedy movies'],A1L92Y6VBTRFP5,6,13,10,5,12
83,"['Action movies', 'Horror movies', 'Comedy movies']",American Honey,Tom Hanks,Martin Scorsese,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,4,4,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,4,5,5,1,"['Action', 'Comedy movies', 'Horror movies', 'Documentary movies', 'Sci-fi movies', 'Drama movies', 'Mystery movies']",A16OH8XXYY0AAS,7,22,10,12,22
84,"['Drama movies', 'Comedy movies']","think like a man , ",taraji p.henson,will packer,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,4,3,4,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,3,3,3,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,3,3,4,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,4,3,2,4,2,"['Sci-fi movies', 'Horror movies', 'Action']",A34CPKFZXBX1PO,8,13,20,10,10
85,"['Drama movies', 'Comedy movies']","Meet Joe Black, Top Gun","Kevin Costner, Brad Pitt",Steven Spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,1,1,3,2,2,4,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,2,2,3,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,3,2,4,3,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,3,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,4,3,5,3,"['Drama movies', 'Comedy movies']",A3FGT6EU39C6S4,7,14,16,21,10
86,['Horror movies'],evil dead,will smith,david barrett,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,4,5,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,2,1,2,4,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,5,2,5,4,5,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,3,5,4,3,2,Yes,Red Bot didn't recommend a movie.,4,3,4,5,4,1,['Documentary movies'],A3QSFE6GKO157S,1,22,6,4,3
87,"['Action movies', 'Horror movies', 'Sci-fi movies']",Shaft,Samuel Jackson,Steven Spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,1,1,1,2,2,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,4,4,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,2,3,3,2,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,1,2,1,2,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,"['Action', 'Comedy movies', 'Horror movies']",AZ8JL3QNIPY4U,8,11,8,13,10
