,bot,human
595,"i have not, but i really want to now",Maybe I will look into it
596,yes i have,I will look in IMDb for the trailer
597,i have never seen the original but i hear its good,It is
598,"oh yea i would like to tell you how good the movie is, you have got to watch the trailer!","I will, thank you"
599,"no problem, it was nice chatting with you.",Same here
600,are there any more movies you are looking for?,quit
601,TASK COMPLETE,
602,,
603,A2C2WXXKJOLCZ2,
604,hello!,Hi. how do you do.
605,"good, how are you?",I am good. Do you like watching movies?
606,i like movies! what was the last movie you watched?,Fast & Furious Presents: Hobbs & Shaw
607,was the movie good?,Yes. It was a good movie.
608,have you ever seen the purge movie? its a very scary movie about how bloodthirsty people can be,No. Is it that good.
609,yes it is. do you like horror type movies?,Yes. can you reccomand me some horror movies
610,black mirror the movie black mirror is a horror type movie.,I accept the black mirror movie
611,i would definitely recommend the nine rooms. its a thriller that is very creepy.,aCCEPT
612,have you ever seen annabelle 2? its the newest annabelle movie.,Accept
613,yes. i have seen it. it was good. the cast is great,Ok. thanks for you recommendation. I accept the movie.
614,you are welcome. i hope you enjoy the movie,Yes. I will enjoy the movie by watching it.
615,"thank you, i hope you like it!",I like it.
616,awesome.i hope you enjoy,I like it
617,did you ever watch the joker?,No. not yet
618,ive watched the movie but it was so long ago,I need to watch it.
619,"i have never watched the joker,i am an assassin fan and it is quite a feat that he is an assassin but he is so bad at it that no one suspects him lol",I also never watched it.
620,have you seen the batman movies,yes i seen
621,have you seen young adult?,no i cannot
622,yes i have,how is that
623,"yes,i enjoyed it.did you like that one",no 
624,it was pretty good.i like when batman and superman team up,yeah i also like that
625,Task Finished!,
626,,
627,A16ST6GDZTN4AD,
628,"hello, i am here to help you look for a movie trailer",yes
629,whats the latest movie youve seen in theaters?,Men in Black
630,men in black 3 the movie trailers are great,yes sure
631,oh that movie looks great! do you have any movie recommendations?,no
632,what kind of movies are you into?,family oriented
633,"oh family oriented films, love em! what are some of your favorite family oriented movies?",The lion King
634,"thats a great movie, i love the lion king!! i would suggest beauty and the beast. its quite the family movie",yes
635,got it,ok
636,i absolutely love the lion king as well!,who is the director of he movie
637,maui wind,yeah
638,"the director is same as lion king, simbas father!",ok
639,jason gundham,yeah
640,love love love the lion king and its soundtrack!!,animation was also good
641,got it!,is there another part soon
642,i would recommend rosewood also very family friendly!!,ok
643,beauty and the beast is a great movie!! i highly recommend it to you!!,ok
644,thank you,thank you
645,you are very welcome,ok sure
646,lion king part soon,ok thank you
647,no problem!,ok
648,you are welcome..so you will watch the movie trailer..if you have time,ok
649,Task Finished!,
650,,
651,A292LG3R356V5,
652,hello,hi
653,what can i help you with?,yes
654,hi. what kinds of things do you enjoy?,comedy movie
655,have you seen jack and jill?,yes
656,are you a fan of will ferrell?,no
657,"i am. i have seen jack and jill, what did you like and dislike from it?",good actor
658,"Jack and jill was fine, not the best comedy but fine. Will Ferrell is the best.",ok
659,have you watched the new jumanji movie?,yes
660,"awesome, was it the best comedy movie you have seen in a while or do you prefer more serious comedies?",laughing always
661,im a fan of jack and jill and yeah that was a good movie,yes
662,"i prefer more serious comedies myself, but jumanji was really good and funny. i loved josh and kevin drew in the cast.",like it
663,"i have not seen that movie yet, but it was in my bucket list to see it.",yes
664,i havent seen jumanji yet but you are right josh drew is such a funny actor,yes funny actor
665,i also loved kevin hart and jumanji is the funniest movie i have ever seen.,nice movie
666,i liked kevin hart in the big lebowski and his real personality.it really enhanced the comedy,kevin also
667,yes it did,yes
668,thanks for your time and enjoy the movie,thank you
669,thank you,welcome
670,oh awesome! thank you for the recommendation! i will definitely check it out!,yes
671,youre welcome,thank you
672,awesome im glad to hear it!,good
673,Task Finished!,
674,,
675,A20N1NK5X5S88F,
676,hello! i am here to help you.,yes
677,great! what kind of movies are you into?,la la land
678,have you seen shaun of the dead?,no
679,not yet but i have heard great things about it.what type of movies do you like?,spider man
680,do you like superhero movies?,yes i like very much
681,i love superhero movies! have you seen civil war?,yes 
682,i personally love superhero movies. whats your favorite movie of all time?,wonder woman
683,those are my favorite movies too! i love wonder woman and captain marvel! i also loved all the xmen movies.,i am loved all x man series
684,i like the x-men too!,ok
685,ok! i understand that you like action and comedy movies?,i like to action movie
686,whats your favorite action movie?,captain america
687,have you seen suicide squad?,yes
688,yes i have. is there anything else i can help you with?,nothing
689,"suicide squad is my favorite movie!! loved it. i think youll enjoy a movie called ""jackie brown."" its an original movie by chris evans.",yes
690,would you like to watch this movie trailer?,yes i like it
691,i just watched the trailer. it seems like a cool movie. is there anything else i can help you with?,nothing
692,"the story is about a cop that has to work an unusual investigation, although its a little bit unrealistic",not at all
693,"have you seen ""catch me if you can?"" its a classic",yes
694,ohh i think thats what the movie is titled!,captain America
695,that is correct! i think i am going to have to say you are in the clear for this movie.,yes
696,great. have a great day and enjoy your movie!,welcome
697,Task Finished!,
698,,
699,A28JMHEQZ8276G,
700,"hi, how are you?",fine and you?
701,i am doing well,what is your age?
702,im 59 years of age,okay
703,i am in my 40s,where are you from
704,i am 47. i am from russia,okay im from india
705,i am 45 from new york. what kind of movies do you enjoy?,comedy
706,i enjoy comedies,hi-fi
707,im older and love thrillers,do you have any gf
708,my girlfriend right now is tracy morgan,are you married
709,im 38 and a college drop out,ok tata
710,i am a college dropout as well but am in a good place now. i am about to retire in spain. you?,Software engineer
711,I am a lawyer and enjoy finance and comedy movies.,tat bye
712,wow are you me haha that sounds great!,how to complete the task
713,have you watched any of the karate kid movies?,Jackie chan movie
714,yeah those are fun too.i watched them when i was young,Ok I to love it
715,"ok, do you want me to show you them?",yes
716,"yes,do you want to watch the movie trailer",yes
717,do you have a favorite actor?,thor
718,are there any movies you havent seen that i could suggest to you?,jake sparrow
719,"i liked him in jackie chan adventures, you should check that movie out.",do you like avengers
720,"yes i love avengers,thank you so much for your suggestions!i will watch these movies with my family",I love thor
721,Task Finished!,
722,,
723,A1BZX5G4Q9AYTQ,
724,hello,Hi
725,hey whats up?,Your favorite movie
726,what type of movies do you enjoy?,Horror movie
727,I like thrillers and family movies,I also like family movie
728,what is the last family movie you watched,over the moon
729,"hello, have you ever seen over the moon?",Yes i saw it
730,wow that was a very long time ago!,quit
731,TASK COMPLETE,
732,,
733,ANBEBF6FLZFY3,
734,hello!,hello
735,hey there! what can i help you with?,little help
736,what types of movies are you interested in?,action movie
737,what was the last movie you watched?,Avengers
738,avengers: endgame,Yes
739,did you like it?,Yes
740,the movie that was released in 2017 or the latest action movie released this year?,latest action movie
741,got it,ok
742,i think youll like the new mission impossible: fallout movie.,I dont no
743,why not?,No fallout movie
744,have you seen zombeavers or happy death day?,No
745,happy death day is awesome! you should watch it if you havent!,Yes
746,i have not,ok
747,my apologies i meant happy death day!,good
748,"i will look into that movie, thank you!",your welcome
749,thank you.i hope you will like it,yes
750,i hope you like it as well,Read on
751,"yeah,i think you will enjoy it",ok
752,i hope you enjoy the movies,defiantly
753,"i think i will, thank you!",sure
754,"thank you,you are very welcome",thank you
755,Task Finished!,
756,you are very welcome!,
757,,
758,A198MSVO1VTAT5,
759,hello!,hi
760,what can i help you with?,what movie to watch
761,lion king!,accept
762,TASK COMPLETE,
763,,
764,AIQM86IRETAJN,
765,"hello, my name is charles! how are you doing today?","Hello Charles, Im doing great, how about you?"
766,im great as well! do you enjoy comedies?,I love comedies! Especially ones that are not poltically correct or involve some type of dark humor
767,i also enjoy dark humor!,Do you have a good movie recommendation for me?
768,"i am in the middle of watching the office for the billionth time. it is my favorite! its got dark humor but is not cruel to the audience, if that makes sense.",I absolutely love The Office!
769,"i do like comedies as well. i believe you are right, dark humor is great.","I want to watch a comedy movie, do you have any suggestions?"
770,what about to the winged horse? have you seen it?,"No, what is the Winged Horse about?"
771,the winged horse is the name of a movie about a horse who thinks its a human and it has a barn.,accept
772,TASK COMPLETE,
773,,
774,A3KF6O09H04SP7,
775,hi there!,quit
776,TASK COMPLETE,
777,,
778,A1XJU3KQ7B3JWZ,
779,hello,hi
780,hi! are you looking for a movie?,yeah
781,"yeah, any good ones recently came out?",soho
782,there is a new movie about a female slime called corpse bride,yeah
783,got it,yes
784,"oh great! have you seen the trailer for ""we are marshall"" yet? it looks fantastic and is about a group of men who are members of an ensemble cast in a musical that they are in.",eagerlly waiting too
785,"well, if you want a good movie starring will ferrell and martin short, it comes out this week!",hmm
786,"hmmm, i think you should see the trailer for baby driver! its an amazing movie!",sure
787,what did you like most from it?,acting
788,i liked how they represented the life of a professional driver. i can relate,yeah ofcourse
789,"the first half hour of the movie was the best, for me. after that, it turned a little meh.",i tto feel like same
790,"nice, what did you like most from baby driver?",on that road
791,"well they have pretty similar actors, so i liked them both. i really liked the way baby driver talked about cars. how we all desire to own them, even to the point of buying the same one. plus there are some amazing car chases and stunts",yeah
792,do you think you would like drive 2?,no yar
793,"oh definitely, i cant imagine it will get as good as the first one though.",i will watch
794,the stunts are amazing in drive 2,hmm okay
795,"i agree, i dont think anything can surpass drive 1",yeah
796,is there anything you do not like about roadwel?,noo
797,the acting,good
798,"i cant think of anything i dont like. except maybe dennis reynolds, lol. ",lol
799,have you seen the trailer for trapped in a zone? it is a similar type of movie and i enjoyed it.,have to see
800,Task Finished!,
801,,
802,A2615YW1YERQBO,
803,hello,hi there
804,so what is your name?,I am Em. What is yours?
805,im sam. do you like animated movies?,"I used to when I was a kid, but not so much any more."
806,"not a big movie watcher, but my kids love them.",yup. I know what you mean.
807,hi em. im not much of a movie watcher either. how about books?,"I read quite a bit. I have been reading such authors as Ridley, Taleb, Harari, among others."
808,i like books too. i have always loved how books can give a completely different point of view. are you a big movie watcher?,Once in a while I get caught up in a movie.
809,i have never been a big movie watcher myself.,[quit]
810,TASK COMPLETE,
811,,
812,AJXIC6Q5EM76P,
813,"hi, im kari! i understand you like movies.",quit
814,TASK COMPLETE,
815,,
816,A1I72NHC21347A,
817,"hi, im looking for a movie trailer to recommend to you. what kind of movies do you like?",I like comedy movies very much
818,do you like johnny depp?,Yes. But not that much interesting
819,got it,can you suggest any other movie?
820,yes sure,Suggest it to me . Please
821,the pirate of the caribbean movie,Please suggest any latest comedy movie?
822,ray comfort,thank you for suggest this
823,do you like de niro ?,accept
824,TASK COMPLETE,
825,,
826,A3QXFWX1PVH5MJ,
827,hello!,Hey!
828,how are you today?,Im great.  How are ya?
829,im good!,Glad to hear it.  Lets get started.
830,great! how are your kids?,Theyre fine.   The wife is good too.  She has pizza.
831,thats great!are you looking forward to dinner?,Always.  Its like asking if a thirsty man is looking forward to water.
832,i love pizza!what is your favorite kind?,"I like Hawaiian.  You know, ham and pineapple."
833,well there you go.im a big pepperoni fan.,Nothing like the classics.  So how about recommending a movie for me.
834,you can look at foreign movies for now.,"Nah, Im good.  Subtitles arent my bag."
835,alright.,You arent very helpful here.
836,yeah.the most help you will get is about pineapple pizza.that is the popular choice,Touche.   
837,i hope you will like the movie.,Thanks!
838,so would you like to watch this movie trailer.,sure
839,do you like superhero movies.,Of course.  One of my favorite genre.
840,awesome.are you ready to watch this movie trailer.,"I was ready before you asked about pizza, my dude."
841,i am ready for the movie trailer.thanks.,quit
842,TASK COMPLETE,
843,,
844,A2VO8C41JJIQY9,
845,hi friend,hi
846,"hello, happy thanksgiving!",thanks
847,you too!,good
848,thank you very much,continue
849,i hope you enjoy it,same to
850,i hope so too,wov
851,you too!,ok
852,happy thanksgiving to you too,great 
853,"thanks, i hope you enjoy the movie",superb action 
854,so do i! thank you,thank
855,youre welcome and have a great day,i defenitly come sometimes
856,have you ever watched jojo?,no
857,i have seen jojo its an anime about vampires,really
858,no i have not seen that before,ok
859,i am very familiar with jojo but its been a while. its my girlfriends favorite but you can enjoy it without her :),i enjoyed
860,"thanks, i have not seen it",thank
861,"wow vampires are quite an interesting topic! i really enjoy the anime dont forget to eat and drink, lots of it!! have a great day!",bye
862,i totally agree it is my absolute favorite,is it
863,byei enjoy the anime,bye 
864,well i hope you enjoy the anime! i really enjoy it too :),so cute meet
865,why not go with my top favorite and attack on titan its my girlfriends and my favorite for sure,no 
866,Task Finished!,
867,,
868,A2OPYRV3GLAPS1,
869,hello. i am here to help you looking for a movie trailer.,Hey there. Id like to watch an indie movie.
870,which one are you most interested in?,Im not sure! Could you recommend something?
871,what do you enjoy most about indie movies?,I like indie movies that are artistic and visually stimulating.
872,have you ever seen the film gotg?,"No, I havent"
873,"it is about the father and son looking for artifacts after the apocalypse. it has the superhero type humor, but is good to watch.","Okay, interesting. Whats it called again?"
874,gotg,[accept]
875,TASK COMPLETE,
876,,
877,A1BZX5G4Q9AYTQ,
878,hello,hi
879,what kind of movies are you into?,horror
880,horror is awesome!,"yes, say any horror movie"
881,horror movies are the best,yes you know latest horror movie
882,hello!,latest horror movie please
883,hello i like horror movies,good
884,thats great,thank you
885,youre welcome. horror movies are the best.,quit
886,TASK COMPLETE,
887,,
888,A1YZ0ETOCJO1B2,
889,"hello, im here to help you look for a movie trailer!",awesome thanks!
890,youre very welcome,I am looking for a romance movie
891,what is your favorite type of romance movie?,I like a lot of different ones
892,have you seen 50 first dates?,Yes
893,have you seen love actually?,yes I have
894,have you ever seen 50 first dates with arnold?,I would like a new romance movie
895,"i have not seen 50 first dates, i like the newer romance movies, i would say 50 first dates is a good one, although it does have some adult humor",what is it about
896,the plot is about a woman who falls in love with a fifth grade teacher.directed by kathryn bigelow,what is it rated
897,13 years old,so PG13
898,thats a good one,who is in the movie?
899,"the movie is called ""love actually""",accept
900,TASK COMPLETE,
901,,
902,A16ODTIYV32C4Y,
903,"hi there, i am here to help you.",thank yoy
904,you are welcome,ok
905,do you accept my help ?,yes
906,"yes, i do accept your help",ok
907,do you have a favorite genre?,yes
908,i like movies like starwars,thankyou
909,"yup, i love movies too. starwars is great!",oh yeah
910,is there anything i can help you with ?,no help. good to ask
911,thank you,thankyou
912,"yup ,i like all kinds of movies but movies based on true stories are the best.so you are a starwars fan huh?",yes
913,yes i am a starwars fan too,same too you
914,"i have watched all of them,i cant get enough.what is your favorite character?",good human
915,i like finn. do you like to watch shows like game of thrones?,yes
916,yes i like game of thrones,ok
917,"my fav is finn also. like you said, good humani. i like john snow. i love game of thrones, too. okay! i love game of thrones. i watch it with my children every week.",enjoy
918,oh that is awesome you have children,yes
919,what is your favorite part about the show?,good
920,i think my favorite part is sansa i can relate to her she has so many struggles,ok
921,sansa definitely struggles and struggles but she has come so far! her journey is the most interesting of all the characters,ok
922,i like the last scene,ok
923,ok cool.,ok
924,Task Finished!,
925,,
926,A3AUCQUUA07HCV,
927,hello!,hi
928,how are you today?,doing good!!!
929,"im well, thanks!",can u recommend me something?
930,do you have a favorite type of movie?,"action, adventure, drama, sci-fi, thriller, war, western, etc"
931,my favorite is sci-fi,do you have any good sci fi movies?
932,i have a good sci-fi movie for you,?
933,"yes, im interested in sci-fi movie, but what i like is drama",ok what do you recommend?
934,i recommend you watch shutter island,I have already seen it
935,"i recommend ""in the loop"" it is sci-fi",Looks good!
936,"i actually watched that movie it was good, the score was great",accept
937,TASK COMPLETE,
938,,
939,A2Y87M8V0N1M6P,
940,hi! you can find a movie trailer on youtube!,yeah go on!
941,i love watching those,Recommend me a movie
942,what kind of movies do you enjoy?,fantasy
943,what is your favorite kind of movie?,fantasy
944,my favorite movie of all time is braveheart,accept
945,TASK COMPLETE,
946,,
947,A2DN9LTO4MC9OQ,
948,hi!,hi
949,hi. what kind of movies do you like?,ok
950,i like action movies,ok
951,i like action movies too,ok
952,i like scifi,ok
953,scifi is good,ok
954,scifiokscifi?,ok
955,"hi,i like thrillers",ok
956,so movies about thrillers are okay?,ok
957,"yes,i think that is a nice movie",ok
958,"yes,i think it is okay",ok
959,have you ever seen avengers endgame,ok
960,yeah.,ok
961,okay. so you have never seen avengers endgameokk?,ok
962,ah thank you for clearing that up for me,ok
963,no problem,ok
964,have you seen dredd the original one?,ok
965,yes i have,ok
966,yes. i have seen the dredd movie,ok
967,yes i have seen it,ok
968,awesome!! would you like to watch the trailer for it?,ok
969,Task Finished!,
970,,
971,A1BZX5G4Q9AYTQ,
972,hello,hi
973,how are you?,fine
974,i am also fine,thank you
975,"oh im great, so what do you enjoy doing?",good
976,i enjoy doing alot of things! what is your favorite thing to do in your free time?,any interesting
977,have a new phone what about you,yes
978,i love to cook for people!,quit
979,TASK COMPLETE,
980,,
981,AK66O9WD3XN29,
982,hi! i am here to help you find a movie trailer,Good can you suggest a good action movie?
983,action movies are the best,Yeah do you know some?
984,not really sorry,seriously then what are you here for?
985,i want to watch a great action movie.what kind of action movies do you like?,[quit]
986,TASK COMPLETE,
987,,
988,A394JO4NEPCY3M,
989,"hello, my name is sam. what type of movies do you like?",nice to see you tell me some horror movies?
990,hi sam. i like horror movies too! do you like the trailers for baywatch?,[accept]
991,TASK COMPLETE,
992,,
993,A39XIQCFSCNHFU,
994,hi how are you today?,doing ok
995,"im doing great, how are you?",doing ok
996,"im well, thank you",have you seen any movies
997,"yes i have,what movies do you usually watch?",science fiction 
998,yes i do,what science fiction movies do you like
999,i like horror ones a lot,which film would you watch
1000,i like sci-fi as well,which one
1001,"what did you like from starwars, did you like it","I like it, which star wars is your favorite"
1002,probably star wars the rise of skywalker.,accept
1003,TASK COMPLETE,
1004,,
1005,ADGREXTAORHCE,
1006,hi! id like to help you find a movie trailer to watch.,okay
1007,what kind of movies do you like to watch?,horror
1008,horror is a great genre to watch! i really enjoy thrillers.,me too!
1009,do you like horror/thrillers with romance as well?,"maybe, what do you recommend?"
1010,i like thrillers that take place on earth.,"me too, Im not that into sci-fi"
1011,"me either.i dont mind sci-fi, but i prefer thrillers.i usually prefer thrillers with a little bit of comedy.","okay, what do you recommend?"
1012,"i recommend erin brockovich, the movie is awesome because the story line is very intense.",[accept]
1013,TASK COMPLETE,
1014,,
1015,A2V27A9GZA1NR2,
1016,hello,Hiya
1017,"hey there, how are you today?",Good and you?
1018,"doing well, thanks for asking.",no problem
1019,"im fine, i have some ideas on how to make our favorite content better",Ok go on
1020,what was the last thing you watched?,the martian
1021,"oh that was a good movie, i recently watched brick and it was pretty awesome",awesome
1022,oh yeah that was a really good movie,thats good
1023,"oh, that was a good movie indeed!",glad to hear it
1024,oh wow the name of the movie was pretty good,sounds like it
1025,"i would like to recommend a movie for you to watch, the new jungle book movie looks pretty great",why that movie?
1026,jungle book looks good,ok
1027,yeah but in this movie the main character is a black man,uh ok?
1028,"ok,so what other types of movies do you like?",fantasy
1029,what was the last movie that you watched?,the martian
1030,i like comedy movies and animated movies,Thats great
1031,yes very cool,quit
1032,TASK COMPLETE,
1033,,
1034,A2OPYRV3GLAPS1,
1035,"hello, i am here to help you look for a movie trailer.",Awesome! What would you recommend?
1036,the irishman,"Ahh, I love that. But Ive seen it recently, so Id rather watch something else."
1037,i see! do you know what kind of movies you would like to see?,Something similar to the Irishman would be good.
1038,i love horror and comedy. do you have a preference for those?,"I like both. To be honest, Id love something thats a combination between the two!"
1039,horror movies with comedy is always great! have you seen anything by stephen king?,I dont actually think I have. What would you recommend?
1040,do you enjoy horror based on true events? i know that he is a fan of stephen king.,I dont understand what you mean. Can you recommend a Stephen King movie?
1041,yes. yes. i cannot believe i forgot the name.,What is it?
1042,the shining,[accept]
1043,TASK COMPLETE,
1044,,
1045,A231KDND93GAVX,
1046,"hi there, how are you?",fine.  recommend a movie
1047,i am doing well. what kind of movies are you into?,Comedy
1048,"i like comedy too, whats your favorite comedy?",v
1049,probably 70s-80s comedy movies, recommend a movie
1050,what was the latest comedy that you watched?,"shut up,  recommend a movie"
1051,ok, recommend a movie
1052,just pick any comedy and youll have a movie you can recommend,accept
1053,TASK COMPLETE,
1054,,
1055,ACV75G0ZN7U70,
1056,hi! i am here to help you look for a movie trailer,what do you recommend?
1057,what type of movies do you enjoy watching?,I like dramas.
1058,dramas are great! what was the latest one youve seen?,I saw Tenet.
1059,tennet?,"yes, it was a great movie."
1060,have you ever seen...silver linings playbook?,No. Is it good?
1061,"it was good, the acting was fantastic.","Okay, Ill try that one."
1062,have you ever seen stuber?,"No, what is it about?"
1063,it is an arthur fist biography and it really good,Who is arthur fist?
1064,stuber is a pretty interesting movie about jonny depps life before he became an actor. its quite long but very good.,accept
1065,TASK COMPLETE,
1066,,
1067,AVXEDARJC5HLU,
1068,"hello, i am here to help you looking for a movie trailer",Hi. Sounds good
1069,what kind of movies do you usually like?,Comedies
1070,anything with a good story line,Im indifferent as long as its funny
1071,im into comedy as well. there is no better source of humor than movies.,I agree
1072,a really good comedy is old yeller,No no at all
1073,i like horror and thrillers,Its not my first choice
1074,well thats good because a comedy is definitely on my to watch list.,Mine too
1075,i love yellerno no,quit
1076,TASK COMPLETE,
1077,,
1078,A25CZJEFKXF4UV,
1079,hello there,hii
1080,hello! i am here to help you find a movie trailer.,what are the recent comedy movies
1081,steve carell,oh super
1082,any certain actor or actress that you would like to see in a movie trailer?,yes
1083,i would like to see ellen page in a movie trailer.,ok
1084,i really enjoyed yesyessi in catch me if you can. i know she has a new comedy coming out called cute little pockets. maybe thats something you would be interested in.,thats nice
1085,i do like comedy movies.what was the last comedy movie that you watched?,game nights
1086,actually the latest one i saw was jersey boys!,how is it
1087,amazing! i think that movie was the first movie ever to be nominated for awards!i love it.,wow super who is a actor
1088,ben affleck was in it! you should check out dark phoenix!,ok
1089,"awesome, i will!",ok bye
1090,oh i didnt realize you loved movies so much!! i will have to make a recommendation for you.you should watch knives out!,ok
1091,"dark phoenix was really great, you will not be disappointed!",ok
1092,"wow thats amazing!i will make sure i watch that movie,a few other movie recommendations would be taxi driver,the irishman,nine-english and i hope you will see hacksaw ridge,i think you will enjoy that movie",quit
1093,TASK COMPLETE,
1094,,
1095,A2Y87M8V0N1M6P,
1096,hi! do you like movies?,yes
1097,what kind of movies do you like?,action movies
1098,i like action and drama films,good
1099,"i like action and drama too! my favorite is terminator, have you seen any of the latest ones?",yes
1100,"oh thats awesome! yes i have, you are going to love the new one coming out this year!",no
1101,terminator: dark fate?,ok
1102,"yes, i am going to see it!",good carry on
1103,thank you. have you seen the trailer for it?,welcome
1104,"yes, i saw the trailer and it looks fantastic",good
1105,yes it does!,good
1106,"yes, its going to be very good and intense, there is going to be so many twists and turns and action!",nice
1107,i hope you like it!,definitely
1108,do you want to see the trailer?,yes
1109,i would like to see the trailer for it.,ok
1110,"oh yes, i have nothing but great things to say about it!i hope you enjoy!",yes
1111,thank you,welcome
1112,"i completely agree, well i am glad i was able to recommend something that you will like!",ok
1113,thank you so much for everything you said!im sure ill love it!,ok
1114,"good,i am so happy that i could help!",done
1115,"yes, the trailer was very good.",i like it also
1116,yes i definitely loved the movie!doneyes was really great!,okiee
1117,Task Finished!,
1118,,
1119,A3FGT6EU39C6S4,
1120,hi there. how are you?,accept
1121,TASK COMPLETE,
1122,,
1123,A1L92Y6VBTRFP5,
1124,"hi there, i am here to help you find a movie trailer",ok
1125,ok thanks.,can you recommend a movie
1126,what types of movies are you interested in?,comedy
1127,black comedy,romantic comedy
1128,i have a few recommendations. any preference on the year?,no
1129,"comedy, black and romantic.",ok
1130,"have you seen were men, now were children?",no
1131,"ok, do you like other korean films?",i dont like korean films
1132,so you like western comedy?,romantic comedy
1133,"there is a new trailer for a movie called ""into the woods"" its kind of a black comedy romantic comedy.",sounds good
1134,awesome!,accept
1135,TASK COMPLETE,
1136,,
1137,A16OH8XXYY0AAS,
1138,hello!,Hello
1139,good morning!,Very good morning
1140,do you like superhero movies?,Yes Thats one of my favourite movie
1141,"yeah its a great movie, what is your favorite hero?",Tom hanks
1142,i like tom hanks too.also m night shamalan is a good director.,Yes 
1143,"yeah, i have heard that",Yeah me too
1144,well how about this movie?,Its a wonderful movie. I love it
1145,"great! my youngest daughter loves tom hanks in that movie, hes a good actor",Yes me and my son also loving him
1146,do you also like movies with tom cruise in them?,yeah i saw the movie with their combination
1147,"yes, there were some great ones that was directed by tom hanks, he is a great actor.",Yeah he is very knowledgable person
1148,the movie was made in 1984 and still holds up today,wow. Its nice.I am not aware about the year.
1149,it came out in 1989,interesting.. which month?
1150,in october,Nice. interesting information
1151,how old are you son?,my son is 5 years old
1152,im in my thirties,great. i am thirty seven years old
1153,39,so you are elder
1154,"oh,good.my son",good .
1155,i am the same age.,nice so i call you as friend
1156,"hello, i am here to help you.how do you feel about movies and tv?",yeah i am interested in romantic movies
1157,i am also interested in romantic movies and tv. whats your favorite actor or actress,tom is my favourite  tom and jenniferd 
1158,"jennifer tom is a great actress, also loved her in the secretary. what was your favorite movie she acted in?",The hunger games
1159,Task Finished!,
1160,,
1161,A34CPKFZXBX1PO,
1162,hello,"hi, i would like to see a movie."
1163,what kind of movies do you typically watch?,I like scifi movies
1164,well i am a bit of a scifi buff myself.lol,what do you recomend?
1165,watch the twilight series lol.jk,what movies do you recomend with spaceships?
1166,love twilight :)),Ive already seen all the twilight movies
1167,"ok, what about alien invasion movies",how about robot movies
1168,me too! have you seen annihilation?,annihilation doesnt have robots
1169,"oh man, i have never seen annihilation but it sounds awesome. robots are really cool to watch. do you want to watch a trailer for it?",ok
1170,okay sure. i hope you like it. :),quit
1171,TASK COMPLETE,
1172,,
1173,A3FGT6EU39C6S4,
1174,"hello, i am here to help you looking for a movie trailer.",thanks
1175,what type of movies do you usually like?,dramas
1176,i enjoy them too! do you prefer ones with a lot of action?,action and suspense are good
1177,i like suspense movies,I like interesting stories and characters
1178,what is your favorite actor in action movies?,tom cruise
1179,"thanks for the information. im not sure ive a favorite actor. i just watched anthony weiner, hes good in joker, which i liked.",i havent seen joker. Maybe I should try that one
1180,i do believe you will enjoy it.,ok thanks
1181,yes i would recommend the joker its a very good movie,complete chat
1182,yeah heard it was good,quit
1183,TASK COMPLETE,
1184,,
1185,A3QSFE6GKO157S,
1186,hi there!,hi
1187,how are you doing?,[accept]
1188,TASK COMPLETE,
1189,,
1190,AZ8JL3QNIPY4U,
1191,hello,hello
1192,what was the last movie you watched,Old Guard was the last
1193,great movie,yeah. it was good. I liked the story.
1194,the story is great,sure it was.
1195,yeah.did you watch the new bate mockbate,I havent seen that
1196,yes. it is good.,I guess I should see it. What is it about?
1197,matt damon tries to get into the business of banking by working at a bank,that sounds appealing. Did he succeed?
1198,yes he did succeed in his goal,thats cool.
1199,so would you like to watch this movie trailer?,accept
1200,TASK COMPLETE,
1201,,
1202,A3C8JI69WPTKWH,
1203,hello there!,Hi!
1204,how are you?,Im good and you?
1205,"i am great, hows life",Not bad. Im looking for movie recommendations.
1206,i am doing well!i can recommend a movie.,great!
1207,what type of movies do you like?,how about action?
1208,i like sci fi action movies,oh like which ones?
1209,death wishes!d.d is a favorite of mine,I havent seen it
1210,"i do as well.how about crime,crime, thriller, super hero movies?","no, not so much. How about harry potter?"
1211,Harry potter is great! Do you like popcorn movies?,what is popcorn movies?
1212,"hp movies are classics, the live action one is awesome.",yes I love harry potter movies too
1213,"its a movie made up of multiple scenes put together into a single continuous image, it makes the movie appear super smooth.","oh i see, like gumbi"
1214,oh yes! thats the one with al pacino right?,i think its a donkey made of clay
1215,yeah thats right!,so what movie do you recommend?
1216,"hmmm, let me think on that, ill recommend another movie for you, the transformers: dark fate",is that action?
1217,yup thats the one,ok cool. Ill take your recommendation
1218,thank you!,[quit]
1219,TASK COMPLETE,
1220,,
1221,A17GHP8L89ZSD5,
1222,hi i am here to help you,hi
1223,hi. how are you?,i am fine
1224,fine as well,quit
1225,TASK COMPLETE,
1226,,
1227,A2LV5432PV1S39,
1228,"hello, i am here to help you",Hi! That sounds good!
1229,what kind of movies do you like?,Action movies are my favorite.
1230,i really like horror movies.,Horror movies are great as well!
1231,i do like horror movies! which horror movie is your favorite?,Ive really enjoyed Poltergeist - the original. I also saw Come Play recently which was good.
1232,oh nice! would you be interested in seeing the trailer for sinister?,Sure!
1233,"i think i have that movie downloaded actually, i really like jennifer lopez!","Yes, shes always fun."
