,bot,human
659,what is your favorite aspect of bloodshot,Aspect Ratio
660,the new mutants,yes good
661,great to hear,thank you
662,welcome,quit
663,"TASK COMPLETE, Thanks for chatting with me!",
664,,
665,ANBEBF6FLZFY3,
666,hello how are you doing,I am fine
667,i am here to help you look for a movie trailer. what type of movies do you like to watch?,action movie
668,i like drama movies the best. have you seen avengers: endgame yet?,Yes I have seen
669,"it was really good, huh? so good that it was nominated for six oscars, including three awards for screenplay, production design, and directing.",Yes it was so good
670,max steel was the sequel to max steel came out recently. how was that?,little good
671,was the first one good enough to warrant watching the second one?,Yes
672,okay awesome. im glad i was able to help you!,Yes i am happy
673,I would recommend Like a Boss.,thanks
674,no problem. do you want to watch the sequel trailer?,yes
675,ok thats cool,ok
676,"ok good. i have a friend with the trailer, hope you enjoy!",I will definitely enjoy it
677,would you like to watch this trailer?,definitely
678,ok i will be going now. have a good day!,ok. Thanks for conversation
679,no problem. enjoy the movie!,ok
680,how about this movie trailer?,very good
681,what is the latest movie that youve watched?,avengers end game
682,ok. so you are a big marvel fan. thats great.,thank you
683,your welcome,ok
684,have a great evening.,yes
685,what was the last movie that you watched?,avengers end game
686,have you ever seen any of the other marvel movies?,have seen
687,Task Finished!,
688,,
689,A198MSVO1VTAT5,
690,"hello, how are you?",Doing well and you
691,"awesome, i hope you enjoy the trailer!",thanks
692,how long have you been watching movie trailers?,for many years
693,"cool, what is your favorite movie?",Youve got mail
694,"awesome, you just became my favorite movie person!",thanks
695,sure thing,What is your favorite movie?
696,"probably the first new hope, how about you?",Youve got mail but I already said that
697,"oh, so sorry, my bad.",Im not sure if I ever heard of first new hope
698,it is a great movie! one of my favorites.,I will make a point to watch it
699,it is really cool that harrison ford was in it too.,I like harrison ford
700,he has been a great actor.,Yes he has
701,how do you feel about more recent movies,There are many that I like
702,what movies do you really like?,any movie that makes me feel happy
703,I am recommending Like a Boss.,I liked that movie
704,yeah it is a really good movie.,Yes it is
705,I am recommending Bad Boys for Life.,I dont think I would like that
706,well then i would like to recommend a movie called like a boss.,accept
707,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
708,,
709,AIQM86IRETAJN,
710,hello! i am here to help recommend a movie for you!,Awesome! Is there a good sci-fi movie you could recommend?
711,I am recommending Bloodshot.,"I do not want to see Bloodshot, please recommend something else"
712,the new mutants,Could you recommend a movie that doesnt involve hitman or mafia? I like sci-fi movies such as in the space theme
713,like the new mutants ?,No
714,Have you seen The New Mutants?,I do not want to see The New Mutant
715,terminator: dark fate,What is Terminator: Dark Fate about?
716,"terminator: dark fate is about Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Can you recommend me something else? Maybe something inspired on Tarantinos work?
717,I would like to recommend Star Wars: The Rise of Skywalker.,I do not like the Star Wars franchise
718,i have recommendation to you.,What is your recommendation?
719,I am recommending Like a Boss.,What is Like a Boss about?
720,like a boss is about a guy who thinks hes living the dream when really hes on a crusade. he is fighting against what he really wants to do.,accept
721,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
722,,
723,A3KF6O09H04SP7,
724,"hello, how are you doing?","Good, "
725,are you looking for a movie?,"Sure, something indie"
726,I would like to recommend Like a Boss.,Who directed?
727,i think john wayne,Must be pretty old
728,no i think he is a newer,John Waynes been dead for years
729,i think you need to check your facts.,"FACT: John ""Duke"" Wayne died in 1979. Maybe youre referring to another John Wayne?"
730,no i am talking about john wayne. he is from the ghetto. this guy is one of the few black people to make it to the top of hollywood. he is a real person and he is awesome!,"OK, so it is another John Wayne. The one Im referring to was on of Hollywoods biggest stars from 1935-75"
731,ok. cool.,This JW sounds interesting. Whats his movie about?
732,"one of my all time favorites is his first one, rat race. the movie is about a two a half hour race, but it was nice talking to you!","You too. What does ""all time"" mean to you? "
733,all time means more than one movie!,"I see. Thanks, bye,"
734,have a great day. enjoy the movie.,quit
735,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
736,,
737,A1XJU3KQ7B3JWZ,
738,"hello, i am here to help you look for a movie trailer.",hi
739,what type of movies do you like to watch?,some comidies
740,do you have any specific actor/movie?,kevin
741,hes a great actor.,yeah i love his act 
742,do you know what movie he was in?,soho
743,lol i think it was the joker,yeah i love thta
744,lol it was a great movie,ofcourse
745,perfect. what about you,i love to watch movies
746,same. what are some of your favorite movies?,billionarie
747,nice movie. did you watch it recently?,yeah more that 4
748,so did you like it?,yeah really
749,i had forgot about that. what other movies do you like?,wonder women
750,how about 1950s vintage movies,i like this
751,I would recommend Like a Boss.,okay i will watch
752,have you seen it,some what
753,its about some old dude that got laid off and lives in an old folks home. a lady comes around to check on him and he cant stand to not watch his old movies.,wow what a story
754,i know. its so sad though.,yeah tears on my eyes
755,i have a movie recommendation for you. its called into the heart of the sea with ethan hawke. its on netflix and its about two alien species with powers each. very weird,yeah okay
756,i hope you enjoy the movie. i know you will.,sure
757,ok great.,thankyou
758,no problem.,okay
759,Task Finished!,
760,,
761,A2615YW1YERQBO,
762,"hello, how are you?",I am fine. How are you?
763,fine too. enjoy the weekend!,I plan to. I will not drink so heavily as I did last weekend.
764,that is good to hear! have a good night!,[quit]
765,"TASK COMPLETE, Thanks for chatting with me!",
766,,
767,AJXIC6Q5EM76P,
768,hello there,"hey, how are you"
769,im doing well. i was hoping to help you with some suggestions for movies. what kind of movies do you enjoy?,I like romance and comedy
770,what about earthquake bird the movie?,never heard of it
771,do you like to watch movies at home or in theaters?,Yes i do
772,awesome! do you have a particular genre you like?,Comedy
773,awesome! what kind of comedy are you into?,Romantic comedy
774,onward is a great comedy! it has an engaging plot. have you watched it already?,No I havent 
775,"oh, i am sorry! do you know what onward is about?",No I dont
776,onward is a little women a coming of age comedy about a boy getting a gift for his step mother. i think you will love it.,Sounds interesting 
777,its so cute i watched it a couple times over.,"I bet it is, where can i see it"
778,"its on vudu, youtube, netflix, amazon prime and youtube tv i think.","okay, Ill check it out"
779,did you enjoy the trailer?,Never saw it
780,"i recommend checking it out on the website, or you can get the trailer on amazon prime and youtube tv",okay i will
781,perfect! enjoy,youtoo
782,ok! enjoy the trailer,I will
783,"perfect, enjoy!",thanks
784,your welcome,awesome
785,"perfect, enjoy the trailer!",Ill give it a look
786,"ok, enjoy",you too
787,i really want to see this movie,same here
788,ok great,ok
789,Task Finished!,
790,,
791,A1I72NHC21347A,
792,hello,hello
793,do you want to talk about movies with me?,yes ofcourse
794,whats the last movie that youve watched?,lights out
795,ive never seen that movie. what was the last movie that you saw and what did you like and dislike about it?,"When lights off in the screen , the ghost will enter into room"
796,have you seen the sequel to that movie?,there is no second part in that movie
797,oh really? hmm i could have sworn there was a second part. i think its called the demon growls.,Oh I dont know that 
798,oh ok then. have you seen the movie yet?,If I have a time I will watch that movie.
799,awesome. i think youll love it.,accept
800,"TASK COMPLETE, Thanks for chatting with me!",
801,,
802,A3QXFWX1PVH5MJ,
803,"hello, i am here to help you looking for a movie trailer.",Sounds great.  Lets go.
804,what type of movie are you looking for?,Sci fi
805,what is your favorite genre?,dude
806,what is yours,Sci fi
807,have you watched the new mutants yet?,I have.  Its really good.
808,vin diesel the best,Hes alright.
809,terminator: dark fate,"um, no"
810,then why are you watching the new mutants?,Why are you yellow?
811,vitiligo,what?
812,whats that about,quit
813,"TASK COMPLETE, Thanks for chatting with me!",
814,,
815,A2VO8C41JJIQY9,
816,hello how are you?,fine
817,i think you will really like this movie. what type of movies do you like?,action
818,i like all types of movies. what was the last movie that you watched?,spidermswn
819,i have not heard of that movie. what genre is it?,i not mind
820,ok then. i suggest watching the trailer.,rambo movie
821,is that the best movie that youve ever seen?,action and comedy
822,awesome.,nice bmeet
823,nice chatting with you.,yes
824,okay. have a great day.,good day
825,good day,ok
826,that is cool.,i hot sometimes
827,i have the same problem sometimes,san
828,ok thank you,thankful
829,it is a pleasure chatting with you,good pleasure my mind
830,same with you.,ok
831,thanks you,fully
832,ok bye,bye 
833,ok have a great day,nice day ny life
834,thanks you,see u
835,my pleasure,good or bad
836,good! how about you,superb
837,Task Finished!,
838,,
839,A2OPYRV3GLAPS1,
840,"hello, i am here to help you looking for a movie trailer",Nice. Do you have any recommendations?
841,i would recommend a recent movie.,"Okay, cool. Was anything in particular on your mind?"
842,I am recommending Like a Boss.,I hear that has Will Smith in it. Whats it about?
843,"yes it does! it is also a good movie. if you like will smith, i would recommend it.",Can you tell me about the plot of it?
844,"yes! so its about Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.","Hmm, that doesnt really sound like my style. Can you recommend something else? Like, maybe something artistic."
845,I am recommending Bad Boys for Life.,Whats that about?
846,its kind of a rom com about two women who run a beauty salon. they get along really well.,[accept]
847,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
848,,
849,A1BZX5G4Q9AYTQ,
850,hello! how are you?,hi
851,what type of movies do you like?,sci fi
852,how do you feel about bloodshot,good 
853,what was the last sci-fi movie you saw?,spell
854,did you like it? i heard a lot of people didnt.,i like it
855,did you like it better than the original trilogy?,quit
856,"TASK COMPLETE, Thanks for chatting with me!",
857,,
858,A1YZ0ETOCJO1B2,
859,hello,Hi
860,hello how are you,Good how are you?
861,great i think we have some good movies you might like,Awesome I am looking for a comedy
862,what was the last movie you watched?,Goodfellas!
863,cool. i think we have a new movie for you to watch bad boys for life,what is it about?
864,"its about Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",who is in it?
865,"its about marcus and mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team ammo of the miami police department, the vicious leader of a miami drug cartel. its about onward",who stars in the movie?
866,"chit chat and more importantly, steve carell as the ultra vicious leader of the vicious leading to a hostile takeover of an entire miami city by the two previously mentioned characters as they have to deal with the aftermath of this takeover.",oh I love steve carell!  accept
867,ok great. would you like to watch this movie trailer?,yes
868,do you also want to watch the movie the kings man,Yes
869,ok great. you are gonna love this movie. its my favorite movie.,accept
870,"TASK COMPLETE, Thanks for chatting with me!",
871,,
872,A16ODTIYV32C4Y,
873,"hello, how are you?",Iam fine. you?
874,i am good.,good
875,what kind of movies do you like?,action and horror
876,what was the last action movie you watched?,avengers
877,how did you like avengers max steel,very much
878,I would like to recommend Avengers: Endgame.,y
879,gods of egypt,oh good
880,ok sounds good.,thank you
881,you are welcome. assassins creed an amazing franchise.,nice
882,you too. enjoy the movie!,thankyou
883,you are welcome. enjoy the movie!,ok
884,how do you like the movie?,very much
885,nice. what about the second?,onward movie also good
886,i agree! have you watched any other movies by onward,yes
887,I recommend the movie Max Steel.,ok. thanks
888,no problem,"no problem, good"
889,hello,yes
890,ok. hope you enjoy this movie!,ok thank you
891,you are welcome.,ok
892,ok thanks for your time,same to you
893,you are welcome.,ok
894,Task Finished!,
895,,
896,A3AUCQUUA07HCV,
897,hello,hi
898,how are you?,"good, can you recommend me something good with action?"
899,I would like to recommend Avengers: Endgame.,I have already seen it
900,what about avengers: endgame,Anything other than superhero movies?
901,I am recommending Like a Boss.,"Looks interesting, thank you!"
902,you are welcome,accept
903,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
904,,
905,A2Y87M8V0N1M6P,
906,hello! how are you doing today?,Hi
907,great! im here to help recommend a movie to you.,suggest me a fantasy movie
908,have you seen any of the hobbit movies? i think you might like them. theyre fantasy movies.,"Yes, I want fantasy movies"
909,I recommend the movie Bloodshot.,accept
910,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
911,,
912,A2DN9LTO4MC9OQ,
913,hello! how are you doing?,goog
914,hey! im here to help you look for a movie trailer! what kind of movies do you like?,good
915,what was the last movie you watched?,good
916,oh great! what was the last movie you watched?,titanic
917,good movie! have you seen it a lot?,yeah
918,it is my favorite movie.,ok so whay
919,like how old are you?,35
920,lol. nice!,yah
921,are you going to watch the new disney princess movie trailer?,no
922,ok how old are you,35
923,i am 35,ok
924,what are you movie preferences?,none
925,what was the last movie you watched and what is your favorite genre?,complete chat
926,i recently watched and really liked a movie called complete chat with michael jackson it is from 2001,done
927,i really hope you enjoy the movie!,yeh
928,I am recommending Like a Boss.,ok
929,a great movie,yeah
930,Have you seen Bad Boys for Life?,yes
931,great movie!,ok
932,"OK, how about Onward?",ok
933,ok great,ok
934,Task Finished!,
935,,
936,A1BZX5G4Q9AYTQ,
937,hello!,hi
938,what kind of movie are you looking for?,horror movie
939,i like antlers movie but the past couple of years have been really mellow,interesting movie
940,what kind of movies do you like?,accept
941,"TASK COMPLETE, Thanks for chatting with me!",
942,,
943,AK66O9WD3XN29,
944,"hello, i am here to help you looking for a movie trailer",Yeah I like action movies tell me the best one
945,avengers: endgame is my favorite.,[accept]
946,"TASK COMPLETE, Thanks for chatting with me!",
947,,
948,A394JO4NEPCY3M,
949,"hello, i am here to help you looking for a movie trailer",yeah I like horro movies tell me some.
950,how about horro movies,sure tell me some names
951,ok give me a few minutes.,[accept]
952,"TASK COMPLETE, Thanks for chatting with me!",
953,,
954,A39XIQCFSCNHFU,
955,hello! how are you doing?,"good, whats up?"
956,how are you doing tonight?,Im doing great
957,very nice. what type of movie do you enjoy watching?,I like a good comedy
958,i see. do you enjoy a nice rom com?,"no, more sketch humor"
959,oh ok. what about bad boys for life do you like it?,I want something with less action
960,I would like to recommend Like a Boss.,do you have any other recommendations?
961,lol. you may like love stories about online,accept
962,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
963,,
964,ADGREXTAORHCE,
965,hello! i hear youre looking for a movie to watch.,"yes, do you recommend something?"
966,I am recommending Like a Boss.,[accept]
967,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
968,,
969,A2V27A9GZA1NR2,
970,"hello, how are you doing today?",Fantastic
971,do you have a favorite movie?,yes
972,what was the last movie you watched?,the martian
973,did you like the film?,YES
974,wonderful,what about you?
975,wonderful,QUIT
976,did you like the movie quit,quit
977,"TASK COMPLETE, Thanks for chatting with me!",
978,,
979,A2OPYRV3GLAPS1,
980,"hello, i am here to help you looking for a movie trailer",Sweet! Any suggestions?
981,i love watching a movie at home. whats your favorite genre?,"I dont really have a favorite genre, but at the moment Im in the mood for something kind of stupid and action packed."
982,whats the most recent action movie youve seen?,I watched Conair last night!
983,did you like it?,"I did! Its exactly the kind of action movie, I like. Really campy, and fully of good actors who seems like theyre having fun."
984,max steel does seem to be a fun movie. one of the few im okay with max steel,"Okay, that sounds interesting. Whats it about?"
985,a story about a girl who finds herself a power suit that allows her to track her school aged friends.,Oh huh. Interesting. Whos in it?
986,pheonix james bond,Is that an actor? Ive never heard of them.
987,thats a well respected actor in his 60s.,[accept]
988,"TASK COMPLETE, Thanks for chatting with me!",
989,,
990,A231KDND93GAVX,
991,hello! how are you?, recommend a movie
992,I am recommending Like a Boss.,thank you
993,sure thing. any preference on the genre?,accept
994,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
995,,
996,ACV75G0ZN7U70,
997,hello,Can you recommend a movie with Sandra Bullock?
998,I would like to recommend Like a Boss.,Shes not in that.
999,what type of movies do you like,Movies staring Sandra Bullock.
1000,what did you like about it?,Shes a very good actress
1001,I am recommending Bad Boys for Life.,is she in that movie?
1002,yes she is. sandra bullock is also in it.,Are you sure?
1003,"yeah, its a pretty good movie. sandra bullock",How about something else?
1004,I would like to recommend Onward.,Why?
1005,onward is very good. i recommend it.,accept
1006,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
1007,,
1008,AVXEDARJC5HLU,
1009,"hello, how are you?",Good.  How are you?
1010,"i am well, thank you for asking. what movies do you enjoy watching?",comedie
1011,what is the latest movie youve seen?,Avengers Endgame
1012,how did you like the avengers endgame,It was good
1013,"awesome, that was my favorite part of the movie, i have a baby coming next week",congrats
1014,thanks!,quit
1015,"TASK COMPLETE, Thanks for chatting with me!",
1016,,
1017,A25CZJEFKXF4UV,
1018,hello,hii
1019,how are you?,fine what abou you
1020,im here to help you look for a movie trailer.,ok
1021,do you have a preference for movie?,yes
1022,whats your favorite movie of all time?,game nights
1023,nice how long have you watched game nights for?,2
1024,have you ever seen,yes
1025,awesome me too. what was your favorite character?,hero
1026,hero was great. the casting and directing in that movie were awesome.,i recommend it to you
1027,i would love that. i will watch it now,ok
1028,ok great,your reccomendation
1029,"yep, enjoy!",ok
1030,you will love it.,quit
1031,"TASK COMPLETE, Thanks for chatting with me!",
1032,,
1033,A2Y87M8V0N1M6P,
1034,hello how are you?,fine
1035,well im here to help you find a movie trailer.,ok
1036,what type of movies do you usually enjoy?,action
1037,i like action movies as well.,ok
1038,are you a fan of transformers movies?,ok
1039,what are some of your favorite transformers movies?,yes
1040,ok what are some of your favorite transformers movies?,good
1041,what is your favorite character?,caption
1042,which character?,hero
1043,hero,ye
1044,would you like to know the origin story of the hero,yes
1045,how do you feel about,good
1046,what movie genre is that,ok
1047,ok what movie genre is that,good
1048,is that movie about a person who is acting as a human shield,good
1049,ok now i understand,ok
1050,ok that is great,ok
1051,I would like to recommend Like a Boss.,good
1052,what is your favorite movie?,olk
1053,I would like to recommend Bad Boys for Life.,yes
1054,i was talking to a friend about that movie.,thanlk you
1055,Task Finished!,
1056,,
1057,A3FGT6EU39C6S4,
1058,hello,accept
1059,"TASK COMPLETE, Thanks for chatting with me!",
1060,,
1061,A1L92Y6VBTRFP5,
1062,hello,hello
1063,how are you?,good and you?
1064,i am great today. i was just wondering what type of movie you are looking for.,comedy
1065,nice. i am a comedy person as well.,neat
1066,comedy movies are awesome.,yes
1067,i really like movies that are both humorous and also have a good story. do you?,yes. can you recommend something?
1068,Have you seen Like a Boss?,no
1069,how about like a boss,no
1070,I am recommending Bad Boys for Life.,accept
1071,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1072,,
1073,A16OH8XXYY0AAS,
1074,hello! how are you?,hi
1075,whats your favorite genre of movie?,romantic
1076,romantic what?,romantic movies
1077,last christmas one of my favorites. its so magical and so full of hope. im looking for a movie like that this christmas.,yeah its great
1078,i think youd really enjoy the movie. its a great romance movie.,yes completly
1079,i think youll really enjoy that movie. it has several childrens characters that are so sweet. they dont need much to be happy. its a perfect story of love.,yeah i watched it i loved 
1080,i think youll like the trailer for lady and the tramp then! its a nice movie about love as well.,i like to watch soon
1081,its my favorite movie of all time. i think youll really like little women too! its about a little girl who is homesick when she grows up.,me too
1082,yay! i hope you enjoy the trailer!,quit
1083,"TASK COMPLETE, Thanks for chatting with me!",
1084,,
1085,A34CPKFZXBX1PO,
1086,"hello, i am here to help you looking for a movie trailer.","Hi, I like scifi and horror movies."
1087,do you prefer newer or older horror movies?,newer
1088,how about newer sci-fi movies?,newer
1089,I am recommending Antlers.,what is Antlers about?
1090,its about the robots.,Who is in it?
1091,it is a made-for-tv movie by chris columbus,What do the robots do in the movie?
1092,the robots are living creatures that have been modified to act like humans. they are out to find a cure for the virus.,where can i see this movie?
1093,Have you seen Like a Boss?,no. what is it about?
1094,its a new science fiction movie based on a book of the same name.,who is in it?
1095,it is nick cage and denzel washington,what is the synopsis?
1096,"well they are trying to get back to earth after a disaster and get their family back, but things get ugly when they meet aliens",what year does it take place in?
1097,"you may be interested in the sequel also called ""we are it""",what is it about?
1098,it is about the aliens invading us underwater,What is it a sequel to?
1099,it is about the sequel.,where are the aliens from?
1100,they are from the x-men movies.,what is the name of the aliens?
1101,i think its something like the name of the third movie in this trilogy. i think it has something to do with cyclops.,when will this movie be out?
1102,the movie came out in 2013.,i think i will watch that movie
1103,great! enjoy the movie.,how do i end this chat?
1104,what type of movie do you like?,quit
1105,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1106,,
1107,A3FGT6EU39C6S4,
1108,hello,hello
1109,what are some of your favorite movies?,top gun and meet joe black
1110,thats a good one. i like some of joe blacks other movies,meet joe black is a title not an actor
1111,I recommend the movie Like a Boss.,What is it about?
1112,its about a man who thinks he is a weapons manufacturer.,That doesnt sound like one I would like
1113,so what type of movies do you like,good story lines and engaging characters
1114,have you seen any of the harry potter series?,"yes, they were ok"
1115,have you ever watched the movies,yes
1116,I am recommending Bad Boys for Life.,what is that about?
1117,bad boys for life is a great movie about how one can be cool at any age.,who are the main actors?
1118,leonardo dicaprio cruz alden edgardo zootopia,that sounds good - I will try that. Thank you
1119,how are you doing today,ok
1120,"great, ill try this one out. do you like rom-com?",yes
1121,what is your favorite rom-com?,I am going to try bad boys for life. thank you
1122,great. have you seen bad boys for life,quit
1123,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1124,,
1125,A3QSFE6GKO157S,
1126,"hello, how are you doing today?",well
1127,what kind of movies are your favorite?,horror
1128,"ok, have you seen antlers",yes
1129,what was your favorite part of the movie?,most of films
1130,my favorite parts are where we get to see how the person who looks like a complete stranger can grow to become something much more,[accept]
1131,"TASK COMPLETE, Thanks for chatting with me!",
1132,,
1133,AZ8JL3QNIPY4U,
1134,hello! i am here to help you look for a movie trailer,alright. 
1135,what kind of movies do you like to watch?,"Well, I like Horror and comedy movies."
1136,awesome! me too. what was the latest comedy you watched?,I think it was Shaft
1137,"oh great, chris pratt is a great actor. what about adventure movies?",i like some of those too
1138,I would recommend Like a Boss.,complete
1139,which one do you recommend to watch first?,Like a boss
1140,I would recommend Bad Boys for Life.,accept
1141,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1142,,
1143,A3C8JI69WPTKWH,
1144,hello,Hi!
1145,what type of movies do you like?,I like romance drama movies
1146,awesome! whats your favorite romance movie?,Titanic is a great one
1147,I am recommending Bloodshot.,Oh that sounds violent.
1148,violent movies are good to watch when drinking a soda. i like martin scorsese films.,Im not sure I like violent movies
1149,oh. what about romance movies?,yes that is good
1150,Have you seen Like a Boss?,No. Is it romance?
1151,it is,Whats it about?
1152,"no, it is a movie. like a boss",What is the movie about?
1153,top gun: maverick,?
1154,"yes, top gun: maverick",Im confused. I thought we were talking about Like a boss
1155,i am sorry. i was asking you about a different movie.,oh ok. I want to know more about Like a boss
1156,what type of movie would you like me to recommend?,tell me about Like a boss
1157,like a boss is a mexican tv-series that was nominated for awards.,I thought it was a movie
1158,it is a movie but the series is better,I see. Is it in english?
1159,it is a mexican movie,so is it in spanish?
1160,"no, english only.",oh ok.  I will check it out.
1161,"ok, i hope you like it.",[quit]
1162,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1163,,
1164,A17GHP8L89ZSD5,
1165,"hello, i am here to help you looking for a movie trailer",hi
1166,what type of movie did you want to see and what was the last movie that you watched?,action
1167,what type of movies do you like?,action
1168,do you like action movies with lots of gun shots or more with a little gun?,yes
1169,are you looking for a movie with some action or more action?,quit
1170,"TASK COMPLETE, Thanks for chatting with me!",
1171,,
1172,A2LV5432PV1S39,
1173,"hello, i am here to help you looking for a movie trailer.",That sounds great!
1174,what kinds of movies do you like?,Action is usually my favorite.
1175,got it. do you like marvel movies?,Sometimes. Im not particularly a huge fan of them.
1176,"ok, me too. what was the last movie you saw?",I saw Honest Thief a few weeks ago.
1177,what did you think of honest thief?,I really enjoyed it. It was creative and fun.
1178,"i agree, what other movies do you enjoy watching?","Jurassic Park was great, I like Die Hard and Jaws. Come Play was another great recent movie."
1179,"oh yes, i agree! i also agree with you about avengers: infinity war that was really good.",It was entertaining.
1180,i agree!,What do you think I should watch?
1181,would you like a newer movie or a older movie?,I think newer... I cant get into older movies lately.
1182,I would like to recommend Avengers: Endgame.,Cool. Ill check it out!
1183,perfect,accept
1184,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
1185,,
1186,A33DJF06UZXG3Y,
1187,"hello, how are you?","hey, Im doing fine. you?"
1188,"i am well, thanks. what kind of movies do you like?","Im into artistic, stylized, smart movies"
1189,nice! whats your favorite genre?,I would have to say that psychological thrillers appeal to me the most
1190,i agree. what was the last movie you watched?,last one i watched was the exorcist III
1191,thats a good one. did you like it?,"yeah, I loved it. have you seen it?"
1192,it was great. so would you like to watch this movie trailer?,"no, Im looking for another movie to watch,."
1193,I would like to recommend Like a Boss.,what is that about/
1194,like a boss. thats about a rich mother in law,"oh, is it a comedy?"
1195,it is,nice. maybe Ill look into it.
1196,excellent,[accept]
1197,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1198,,
1199,A8C3WNWRBWUXO,
1200,hello how are you?,"good, You"
1201,what are some of your favorite movies?,"comedy, action, all highly rated movies out right now"
1202,like a boss,what else is out
1203,I would like to recommend Like a Boss.,"i dont think so , what else do you have "
1204,like a boss or midnight in paris is one of my favorites.,give me more suggesions please
1205,onward,what else
1206,I am recommending Bad Boys for Life.,anything else
1207,what else do you need?,thanks
1208,what else?,other comedies please
1209,do you want me to recommend other comedy,yes
1210,I would like to recommend Onward.,"okay, who is in that one"
1211,i recommend hannah montana,is onward a childredns animation
1212,i think it is,i want adult comedies
1213,"okay, what are some of your favorite comedy",thats all thanks
1214,I recommend the movie The Kings Man.,who is in it
1215,"i think tana mongoose, maple sugarmint and dj foster",ok thanks i will see that one
1216,how did you like it?,havent seen it yet
1217,ok i will recommend you the movie,bye
1218,ok that is nice.,quit
1219,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/5aq0o2C6LVE Thanks for chatting with me!",
1220,,
1221,A1ROEDVMTO9Y3X,
1222,hello,hi
1223,how,how what
1224,how what how,you dont know what you are saying
1225,how is it going,all is good
1226,what movies do you like,Sleepless in Seattle
1227,sleepless in seattle,ok
1228,how is the weather in seattle,rainy
1229,very wet,true
1230,you want to talk about movies,ok
1231,you may also want to look at the screen as you walk in the theater,what movie do you recommend
1232,what type of movies do you like?,comedy
1233,do you like onward,accept
1234,"TASK COMPLETE, Thanks for chatting with me!",
1235,,
1236,A3NN2AK1DFDNDU,
1237,hello!,Hi there!
1238,what kind of movie do you like?,Fantasy movies
1239,how did you like jungle cruise,"Its ok, but not what I want."
1240,I am recommending Bloodshot.,accept
1241,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1242,,
1243,ASVRLMDNQBUD9,
1244,"hello, how are you?",Good thanks
1245,"so, whats the latest movie youve watched?",Harry Potter
1246,did you enjoy the movie?,I did
1247,what was your favorite scene?,When Harry learned he was a wizard
1248,that is a great scene.,yup
1249,what was the last movie you saw?,Harry Potter
1250,a classic. have you seen the other movies in the series?,"yes, all of them. Can you suggest any movies like that one?"
1251,which movie would you like recommendation on,Fantasy genre movies
1252,which star wars movie would you like to watch in order to better understand the rise of skywalker,quit
1253,"TASK COMPLETE, Thanks for chatting with me!",
1254,,
1255,A2QZU6VOIL30J3,
1256,hello,hi
1257,hello how are you,im good thanks
1258,do you like to watch movies?,yes i do
1259,what is your favorite movie?,i really like IT
1260,same here,what other films do you like
1261,what is the last movie you saw?,i watched the matrix last night
1262,what was your favorite part about the matrix,i loved it all
1263,I would recommend Like a Boss.,ok 
1264,what do you enjoy about the movies?,[accept]
1265,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1266,,
1267,A10249252O9I20MRSOBVF,
1268,hello,hello
1269,how is it going?,good thanks for asking 
1270,what kind of movies do you like?,comedy 
